sample_id	site_id	lat	lon	Variety
10A	10	32.0258333	-111.559117	australis
10A-1	10	32.0258333	-111.559117	australis
10D	10	32.0253333	-111.559317	australis
10E	10	32.0253333	-111.559283	australis
10H	10	32.0246833	-111.55945	australis
11A	11	33.802	-111.89105	maricopae
11B	11	33.8020167	-111.891067	maricopae
11D	11	33.80205	-111.891083	maricopae
14D	14	33.3015833	-116.26645	borreganus
14F	14	33.30165	-116.266333	borreganus
14K	14	33.3025	-116.26455	borreganus
17A	17	34.8880833	-115.721183	borreganus
17D	17	34.8879167	-115.721617	borreganus
17G	17	34.8881	-115.721733	borreganus
17M	17	34.8882333	-115.72155	borreganus
17N	17	34.8882333	-115.7215	borreganus
17N-2	17	34.8882333	-115.7215	borreganus
17O	17	34.8882	-115.721467	borreganus
17R	17	34.8881333	-115.721383	borreganus
17T	17	34.8881	-115.721417	borreganus
18A	18	34.9989333	-117.006567	variablis
18B	18	34.9989	-117.006367	variablis
18G	18	34.99878333	-117.0066333	variablis
18J	18	34.99896667	-117.0064	variablis
